Title,Stars,Thoughts:,Date,Username,Verified Purchase ?,Thumbs up,Thumbs down
Worth it!,5,"Yes, it’s expensive. But it actually works. Multiple times I have tried something else to see if I can get the same results with a cheaper price.  I never have and I keep coming back",5/24/23,Jessica,True,1,0
Great Product,5,I've been using this for about 3 months now and I love it! I've noticed improvement in my skin texture and tone. it's expensive but worth it.,5/23/23,Kelly,True,0,0
SkinMedica TNS,3,"Been using off and on for a couple yrs.   Feels nice when it goes on and have seen slight improvement in tone, texture and age spots. But for price would definitely like to see more results!",5/23/23,MP,True,0,0
Pricey? Yes. Worth it? YES YES,5,"I was skeptical at first, especially because of the price.  However nothing has been as beneficial to my sensitive skin as this.  I saw quick improvements in tone and texture.  I’m frequently complimented and asked about my skin care routine.  I wish it was more affordable, though.",5/23/23,Linda,True,0,0
love it!,5,I use it morning and night - can't live without it.,5/23/23,alexandra,True,0,0
So far so good,4,I bought this specifically for my under eye (as discussed by a derm). So far I've seen improvement and I'm only using 2-3 times a week. ,5/23/23,Courtney,True,0,0
Too soon to tell,4,I’ve heard so many great things about this serum that I had to try it. Love how it feels on my skin but too early to see noticeable results. Loved that I could get it on sale too!,5/23/23,Donna,True,0,0
Great product,5,Have been using for over a year and it is so great. Compliments even from my aesthetician. Crepe dice but worth the price. Only thing is that at the end both sides are uneven and one side finishes before the other ,5/22/23,Margarita,True,0,0
Improves Texture,5,Improves Texture and evens skin tone. Hydrating!,5/22/23,Kaylynne,True,0,0
Pleasantly surprised!,5,"My neck has started to show its age and after using this serum for just a couple of weeks, I noticed it was firmer!  I almost cannot believe it, but it definitely looks better!  I am not too happy about the price, but feel it is absolutely worth it.   There are only three products I have noticed a dramatic difference in my skin---Skinceuticals C E Ferulic serum,  Retin A and this product.  They are all expensive, but I am going to keep using them because I actually see results.",5/20/23,Elizabeth,True,0,0
The ultimate,5,"This serum is the greatest game changer for my 64 year old skin. Clearer, firmer, smoother…",5/20/23,Patricia,True,0,0
TNS advanced,4,"My derm recommended this to replace multiple products, so far i am loving it",5/20/23,Heather,True,0,0
Used for years,4,I’ve used this product for years. I do think it works best if you occasionally change up your product use. Sometimes you have to do so bc it’s so expensive.  😀,5/19/23,Stephanie,True,0,0
Excellent,5,"I’ve been using this product for many months and it’s been great. I noticed the benefits within weeks and, in addition to retinol, moisturizer and sunscreen, it is at the core of my post-65 skin care. My dermatologist recently told me to keep doing what I’m doing.",5/19/23,Kathy,True,0,0
Love,5,"Excellent for all aging concerns, best ever!!!",5/19/23,Kat,True,0,0
Love it but…,4,I love the results from the product but lately the pumps don’t always work. I hit it upside down and now sit it stored when not in use upside down. I hope I can get it to keep working. ,5/18/23,Barbara,True,0,0
Love the product hate the packaging,5,This product is the best but I’ve had four of the pumps stop working!! This is not a cheap product and have to get them replaced while having a backup on hand!  ,5/15/23,KP,True,1,0
Stranded island must have.,5,"I’m 33, trying to maintain and preserve more than correct. I wasn’t expecting to see anything drastic however, I didn’t realize my jaw line was as “sleepy” until I noticed it starting to lift when I first starts using this. I don’t think I can not ever have this. ",5/13/23,Sarah,True,0,0
"Skin thinning arms, face, neck. senile purpura treatment",5,"I am 65 and have good skin. however, red bruises began showing on my forearms and my facial skin was thinning. The NHS did a study that proven skin growth treatment improved. I started applying the TNS to my forearms and face/neck. The improvement after 3 months is dramatic.",5/12/23,regina,True,0,0
